#This file contains experimental data.
#File written at Wed Aug  5 02:16:18 EDT 2015.
#ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20150701000543,-116.36328,40.63678,KLRX,R6,TVS,21,107,69,83,105,4,5.8,1.3,7.1,81,4.2
20150701000830,-83.42683,40.25732,KDAY,A2,TVS,35,66,43,59,65,10,17.3,1.9,19.2,30,9.6
20150701002236,-85.34876,38.15536,KSDF,W2,TVS,14,62,45,73,73,1,6.3,.5,6.8,82,.5
20150701002749,-105.42586,48.05803,KGGW,D0,TVS,49,100,40,87,87,4,18.8,4.2,23,29,4.2
20150701003201,-105.38620,48.02272,KGGW,D0,TVS,51,102,44,83,83,4,20.1,4.4,24.5,26,4.4
20150701004939,-105.37829,40.01657,KDEN,A0,TVS,43,294,36,54,54,3,10.1,2.6,12.6,20,2.6
20150701005656,-90.47940,29.25644,KMSY,A2,TVS,46,185,32,30,88,15,12.4,2.9,15.3,29,15.3
20150701010318,-83.06885,40.40640,KCMH,O7,TVS,29,326,43,95,95,1,6.6,.9,7.5,52,.9
20150701012833,-86.31334,38.57697,KSDF,B9,TVS,46,314,28,38,73,22,18.8,2.9,21.7,26,21.7
20150701014134,-77.94902,39.48507,KIAD,V0,TVS,31,321,39,64,64,2,5.7,1.5,7.3,33,1.5
20150701020402,-111.81783,33.29150,KPHX,??,TVS,19,114,45,52,74,7,5.7,1.4,7.1,67,7.1
20150701022145,-80.35778,27.16666,KPBI,E1,TVS,29,351,58,81,90,14,16.9,3.6,20.5,51,14.1
20150701022159,-111.76205,33.56975,KPHX,??,TVS,22,66,51,63,78,9,6.9,1.7,8.6,59,8.6
20150701025157,-74.68494,41.32902,KEWR,I4,TVS,48,337,30,57,57,3,11.7,3,14.8,19,3
20150701025544,-77.13799,39.76779,KBWI,F0,TVS,47,330,29,49,49,4,14.1,4,18.1,16,4
20150701032231,-101.90871,46.56776,KBIS,O6,TVS,49,256,28,58,58,5,17.8,4.5,22.3,19,4.5
20150701032947,-83.19633,39.45193,KCMH,??,TVS,40,214,64,85,90,10,8.7,1.6,10.3,37,10.3
20150701033911,-102.34408,44.93698,KUDX,C3,TVS,53,23,38,51,57,12,5.2,7,12.2,17,12.2
20150701034522,-80.10035,26.61237,KFLL,U0,TVS,31,25,68,87,92,7,11.9,1.6,13.5,48,6.9
20150701035518,-101.72839,46.33139,KBIS,O6,TVS,48,237,39,39,89,11,19.2,4.4,23.6,29,11.3
20150701040529,-77.84087,38.40956,KIAD,U4,TVS,43,200,34,50,50,3,8.4,2.5,10.9,19,2.5
20150701044547,-77.26073,38.71304,KLWX,W2,TVS,19,146,31,56,56,1,11.4,1.3,12.7,47,1.3
20150701051132,-94.63471,39.55687,KEAX,H8,ETVS,48,339,19,52,52,14,7.7,13.9,21.7,17,13.9
20150701051726,-111.98797,32.90564,KIWA,E2,ETVS,28,215,33,49,54,8,15.6,6,21.5,31,7.8
20150701051939,-76.35298,39.26094,KADW,B3,TVS,41,34,44,77,77,2,22.5,2.4,24.9,30,2.4
20150701052218,-76.30583,39.28511,KDCA,C0,TVS,44,44,44,77,90,28,24.9,2.6,27.5,33,27.5
20150701052239,-112.00745,32.89682,KIWA,E2,ETVS,29,216,37,53,57,14,11.7,6.2,17.9,30,8.2
20150701052539,-76.32878,39.28849,KADW,B3,TVS,43,34,45,86,86,3,23.7,2.5,26.2,32,2.5
20150701052539,-76.30313,39.29495,KADW,B3,TVS,44,35,40,76,76,3,25.4,2.7,28.1,27,2.7
20150701052708,-94.59373,39.55078,KEAX,H8,ETVS,47,341,24,54,54,10,22.2,10.4,32.6,19,10.4
20150701054331,-76.03135,39.52073,KBWI,V8,TVS,38,47,33,62,62,3,24.5,3,27.5,26,3
20150701054724,-75.97381,39.55734,KPHL,K1,TVS,48,241,24,27,77,23,19.4,3.6,23,26,23
20150701054930,-75.99431,39.56332,KBWI,V8,TVS,41,46,36,61,72,15,25.8,3.3,29.2,29,15.1
20150701055004,-75.98958,39.56142,KDOX,K2,TVS,51,330,28,51,51,4,10.5,4.4,15,16,4.4
20150701055105,-94.34775,39.26647,KMCI,F3,TVS,23,127,35,58,83,5,18.2,2.7,20.9,58,4.6
20150701055324,-75.96365,39.57753,KPHL,K1,TVS,47,242,33,58,58,4,18.9,3.6,22.5,20,3.6
20150701055530,-75.93616,39.58846,KBWI,V8,TVS,44,47,36,76,76,4,28.7,3.6,32.3,27,3.6
20150701062952,-94.23397,39.36114,KMCI,??,TVS,25,109,32,24,79,9,8.1,1.1,9.2,55,9.2
20150701065549,-112.66623,41.23671,KMTX,S0,TVS,10,261,62,107,121,3,6.2,.5,6.7,172,.5
20150701065656,-94.24586,38.79668,KMCI,W8,TVS,48,151,28,54,54,3,24.3,3,27.3,18,3
20150701070255,-94.24586,38.79668,KMCI,A8,TVS,48,151,22,53,53,7,21.5,6.6,28.1,18,6.6
20150701071745,-94.39233,39.41458,KMCI,R1,TVS,17,107,32,49,49,1,6.8,.7,7.5,44,.7
20150701081945,-93.36466,38.03535,KSGF,F4,TVS,48,2,34,40,74,7,14.6,4.4,19,24,6.6
20150701091846,-93.27127,37.56999,KSGF,C8,TVS,21,17,35,31,66,2,11,1.5,12.5,49,2.4
20150701103636,-115.18176,35.64656,KLAS,??,TVS,31,196,47,89,89,3,19.7,3.3,23.1,46,3.3
20150701121833,-92.87631,37.71234,KSGF,H2,TVS,38,41,35,37,62,9,15.5,3.2,18.7,26,8.5
20150701124816,-70.60041,41.53920,KBOS,J4,TVS,40,158,39,73,73,2,5.5,2.3,7.8,29,2.3
20150701125107,-70.56700,41.56813,KBOS,J4,TVS,39,155,36,53,53,2,5.6,2.2,7.9,22,2.2
20150701152234,-94.48927,38.80828,KMCI,??,TVS,43,164,47,62,62,3,6.7,2.5,9.3,23,2.5
20150701153029,-97.14551,27.65206,KCRP,N2,TVS,21,112,28,53,53,2,5.7,1.5,7.2,40,1.5
20150701153139,-118.60968,36.05591,KHNX,C6,TVS,52,107,42,61,71,10,7.2,5.1,12.3,22,9.6
20150701154653,-118.68578,36.14718,KHNX,C6,TVS,47,102,34,51,52,6,6.7,4.5,11.2,18,6.4
20150701164139,-87.06186,35.90425,KBNA,??,TVS,20,257,31,25,75,10,9,1.1,10.2,58,10.2
20150701180312,-86.64701,35.62974,KBNA,P1,TVS,21,178,27,59,59,3,13.9,2.5,16.4,45,2.5
20150701194947,-95.12136,29.70589,KHOU,J6,TVS,13,29,41,50,65,8,7.8,.4,8.1,72,8.1
20150701195447,-70.90457,42.75775,KBOS,G0,TVS,36,2,34,30,87,7,12.2,2,14.2,39,6.9
20150701195508,-70.90651,42.75478,KBOX,A4,TVS,49,12,38,55,63,7,14.3,4.5,18.8,21,6.5
20150701195547,-94.98249,29.80535,KHOU,??,TVS,22,38,45,76,76,1,5.2,.8,6,55,.8
20150701195756,-70.89037,42.75729,KBOS,G0,TVS,36,3,45,85,85,5,9.5,4.6,14.2,38,4.6
20150701195912,-70.88764,42.75166,KBOX,A4,TVS,49,13,42,76,76,7,7.9,6.6,14.5,25,6.6
20150701200047,-70.86201,42.75582,KBOS,G0,TVS,36,5,44,47,95,7,12.5,1.9,14.4,42,7
20150701202342,-110.80776,47.93746,KTFX,T2,TVS,37,39,30,55,55,3,14.8,2.8,17.7,24,2.8
20150701202342,-110.77625,47.96318,KTFX,T2,TVS,39,39,28,51,51,3,5.7,3,8.7,21,3
20150701204553,-70.95041,42.89137,KBOS,M0,TVS,44,359,34,50,66,9,11.7,6,17.7,24,8.9
20150701220036,-87.03199,33.71352,KBMX,L3,TVS,35,338,35,52,52,3,12.9,2.5,15.4,23,2.5
20150701221747,-84.55687,33.91959,KATL,T9,TVS,22,318,41,54,56,11,10.2,.9,11.1,43,11.1
20150701224047,-107.68010,46.16429,KBLX,A1,ETVS,43,64,30,52,52,10,5.7,9.7,15.4,20,9.7
